question_id,passage_id
0,"[""B4086318"", ""B4102111"", ""B4104696"", ""B4105343"", ""B4082125"", ""B4119613"", ""B4108007"", ""B4089177"", ""B4097085"", ""B4114788""]"
1,"[""B4084574"", ""A30711"", ""B4107844"", ""B4099867"", ""A43662"", ""A23359"", ""A14357"", ""B4085051"", ""B4087135"", ""A41834""]"
2,"[""B4090623"", ""B4080808"", ""B4105906"", ""B4098888"", ""B4110407"", ""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259""]"
3,"[""B4084574"", ""A30711"", ""B4107844"", ""B4099867"", ""A43662"", ""A23359"", ""A14357"", ""B4085051"", ""B4087135"", ""A41834""]"
4,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
5,"[""B4119893"", ""Q334401"", ""B4088318"", ""Q2933051"", ""B4105470"", ""Q485954"", ""B4089468"", ""B4087945"", ""B4100929"", ""B4082254""]"
6,"[""B4084574"", ""A30711"", ""B4107844"", ""B4099867"", ""A43662"", ""A23359"", ""A14357"", ""B4085051"", ""B4087135"", ""A41834""]"
7,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
8,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
9,"[""B4089227"", ""B4109910"", ""B4097948"", ""B4089921"", ""B4088641"", ""B4102915"", ""B4112934"", ""B4089174"", ""B4089016"", ""B4080556""]"
10,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
11,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
12,"[""B4089227"", ""B4109910"", ""B4097948"", ""B4089921"", ""B4088641"", ""B4102915"", ""B4112934"", ""B4089174"", ""B4089016"", ""B4080556""]"
13,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
14,"[""B4092022"", ""B4084050"", ""Q62408"", ""Q660692"", ""B4082259"", ""B4103855"", ""B4097819"", ""B4092974"", ""B4092518"", ""B4113549""]"
15,"[""B4090623"", ""B4080808"", ""B4105906"", ""B4098888"", ""B4110407"", ""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259""]"
16,"[""B4084574"", ""A30711"", ""B4107844"", ""B4099867"", ""A43662"", ""A23359"", ""A14357"", ""B4085051"", ""B4087135"", ""A41834""]"
17,"[""B4087837"", ""B4103627"", ""B4092967"", ""B4090773"", ""B4081995"", ""B4092256"", ""B4100414"", ""B4107304"", ""B4087799"", ""B4118766""]"
18,"[""B4084574"", ""A30711"", ""B4107844"", ""B4099867"", ""A43662"", ""A23359"", ""A14357"", ""B4085051"", ""B4087135"", ""A41834""]"
19,"[""B4090623"", ""B4080808"", ""B4105906"", ""B4098888"", ""B4110407"", ""B4092022"", ""B4084050"", ""Q62408"", ""B4115607"", ""B4082259""]"
